index,questions
1,"Si tu pouvais avoir un superpouvoir, lequel choisirais-tu ?"
2,"Si tu pouvais vivre dans n’importe quelle époque historique, laquelle choisirais-tu ?"
3,"Si tu gagnais un million d’euros demain, que ferais-tu en premier ?"
4,"Si tu pouvais changer une seule chose dans le monde, qu'est-ce que ce serait ?"
5,"Si tu pouvais rencontrer une personnalité (vivante ou décédée), qui aimerais-tu rencontrer ?"
6,"Si tu pouvais apprendre instantanément une nouvelle compétence, laquelle choisirais-tu ?"
7,"Si tu pouvais vivre dans n’importe quel pays, lequel choisirais-tu ?"
8,"Si tu pouvais remonter le temps pour changer une décision, laquelle changerais-tu ?"
9,"Si tu étais un animal, lequel te représenterait le mieux ?"
10,"Si tu pouvais te réveiller demain avec une nouvelle qualité ou capacité, laquelle serait-ce ?"
